Empresa;Circuito;Abonados;DPI;FPI
CNFL;ALAJUELITA-LOS PINOS;10222;4.72;6.88
CNFL;ALAJUELITA-PERIFERICO;15711;4.68;6.51
CNFL;ALAJUELITA-SAN FELIPE;17250;5.34;8.51
CNFL;ANONOS-INDUSTRIAL;3113;6.63;7.34
CNFL;BRASIL-FORUM;1026;2.97;8.49
CNFL;BRASIL-REFORMA;5069;5.49;13.76
CNFL;CAJA-PAVAS;13484;7.52;4.13
CNFL;COLIMA-BARRIO DENT;3572;17.03;5.61
CNFL;COLIMA-GUADALUPE 1;4084;4.97;7.28
CNFL;COLIMA-GUADALUPE 2;1610;4.55;6.92
CNFL;COLIMA-PRIMER AMOR;3130;4.13;6.65
CNFL;DESAMPARADOS-SANTA MARTA;16873;6.88;12.06
CNFL;ESTE-SAN DIEGO;17827;7.73;4.56
CNFL;ESTE-TRES RIOS;10309;6.92;7.28
CNFL;GUADALUPE-CENTRAL;908;6.62;13.13
CNFL;GUADALUPE-SAN JOSE;2358;6.59;16.04
CNFL;GUADALUPE-SAN VICENTE;1538;3.87;12.1
CNFL;PRIMER AMOR-ROHRMOSER;2307;2.92;8.17
CNFL;PRIMER AMOR-VALENCIA;26;2.82;9
CNFL;SABANILLA-BETANIA;2895;5.31;6.05
CNFL;SABANILLA-IPIS;6592;7.85;19.07
CNFL;SABANILLA-MIRAFLORES;2662;3.96;8.73
CNFL;SABANILLA-SAN PEDRO;7985;5.81;6.63
CNFL;SABANILLA-SAN RAFAEL;15335;6.83;12.62
CNFL;SUR-DESAMPARADOS;3130;8.42;33.59
CNFL;SUR-ZAPOTE;2052;5.69;19.51
CNFL;URUCA-SANTA ROSA;1882;5.79;6.55
ESPH;OESTE;41651;3.96;6.22
ESPH;QUEBRADAS;23786;4.98;8.1
GUANA;GUAYABAL-SANTA CRUZ;7861;6.22;13.72
GUANA;NUEVO COLON-OCOTAL;4688;8.03;5.85
GUANA;NUEVOCOLONPLAYAMATAPALO;593;3.11;6.8
ICE;ARENAL-SANTA ELENA;11810;6.9;5.09
ICE;BARRANCA-ESPARZA;22604;4.56;6.95
ICE;BELEN-ALAJUELA;29172;9.92;3.8
ICE;CACHI-JUAN VIÑAS;4998;20.33;6.1
ICE;COCO-MARAVILLA;22350;8.91;5.45
ICE;CONCAVAS-LA LUCHA;92;14.57;3.89
ICE;GARITA-PALMARES;17172;9.59;5.88
ICE;GARITA-PARRITA;4908;8.35;4.51
ICE;LEESVILLE-GUAPILES;27144;4.96;6.4
ICE;LEESVILLE-RIO FRIO;38438;7.95;8.65
ICE;LIBERIA-CONDOVAC;452;7.92;4.25
ICE;LIBERIA-PAPAGAYO;1013;7.2;5.06
ICE;LIBERIA-PEÑAS BLANCAS;22371;8.36;11.58
ICE;NARANJO-ROSARIO;5770;6.12;10.64
ICE;PALMAR-CORTES;9356;11.83;8.95
ICE;PALMAR-PUERTOJIMENEZ;4694;30.97;27.39
ICE;PAPAGAYO-CABUYAL;941;11.56;6.17
ICE;PAPAGAYO-ENLACELIBERIA;471;12.73;7.25
ICE;PARRITA-JACO;3369;16.41;17.57
ICE;PARRITA-P.H. PIRRIS;16086;15.05;11.04
ICE;PARRITA-QUEPOS;13793;17.8;9.55
ICE;POAS-TACARAS;2778;4.07;10.2
ICE;RIOCLARO-CHACARITA;3088;18.14;22.06
ICE;RIOCLARO-CIUDADNEILY;20548;4.32;7.29
ICE;RIOCLARO-COTOS;6956;9.34;9.84
ICE;RIOCLARO-GOLFITO;17064;12.09;9.06
ICE;RIOCLARO-SANVITO;26110;6.33;10.78
ICE;RIOCLARO-TECNOLOGICO;21374;7.98;12.92
ICE;RIOMACHO-CONCAVAS;1594;12.33;16.44
ICE;RIOMACHO-POSTE70;6264;4.64;6.28
ICE;SANISIDRO-BUENAVISTA;21472;14.6;9.82
ICE;SANISIDRO-BUENOSAIRES;23994;6.45;6.39
ICE;SANISIDRO-PEJIBAYE;24790;10.73;8.03
ICE;SANISIDRO-QUEPOS;22794;23.62;14.41
ICE;SANTARITA-COBANO;3501;22.06;10.6
ICE;SANTARITA-NOSARA;13672;20.96;12.71
ICE;TRAPICHE-LAPISTA;6048;12.45;10.56
ICE;TRAPICHE-POCORA;15862;12.58;14.23
ICE;TRAPICHE-SIQUIRRES1;17856;15.49;13.5
ICE;TRAPICHE-ZENT;27621;26.72;19.19
ICE;TORO-LAGUNA;122;19.1;9.41
ICE;TURRIALBA-AZUL;9519;5.29;13.13
ICE;TURRIALBA-GRANODEORO;11057;11.15;10.15
ICE;TURRIALBA-VOLCAN;9788;11.12;5.15
ICE;COBANO-URBANO;6825;21.04;19.17
ICE;COBANO-POCHOTE;6555;24.56;24.93
ICE;COBANO-LAESPERANZA;2036;31.01;32.66
ICE;GARABITO-LAIRMA;10686;10.09;7.84
ICE;JUANILAMA-OROTINA;20590;8.59;11.25
ICE;MIRAVALLES-GUAYABO;9900;8.79;10.39
ICE;MIRAVALLES-LOSCHILES;33402;8.12;9.54
ICE;PAILAS-CURUBANDE;7066;25.66;14.97
ICE;SANTARITA-RESPALDONOSARA;11066;16.45;9.76
ICE;TRAPICHE-REVENTAZON;2362;15.83;10.08
ICE;JACONEXUS;7074;7.62;5.18
ICE;JACOHERRADURA;6418;8.62;5.29
ICE;JACOESTERILLOS;396;9.11;2.47
JASEC;PARAISO;10580;8.28;4.3
JASEC;QUEBRADILLA;6072;8.01;5.16
JASEC;TARAS;6083;5.15;7.28
LESCA;DELICIAS;2828;11.66;5
LESCA;LA TABLA;3890;12.19;5.07
LESCA;PUERTO VIEJO;2331;12.24;6.51
LESCA;SAN ISIDRO;11807;14.13;6.55
LESCA;VERACRUZ;1692;7.16;3.79
SANTOS;RIO CONEJO (9);16026;7.41;5.81
